"priv_price","pub_price","sex","ms","age","ed_rev","wealth"
5000,35000,"F","married",32,3,27080500
75000,50000,"F","married",36,9,8551500
5000,5000,"F","married",25,0,6883500
35000,75000,"F","married",44,2,38505000
50000,35000,"F","married",30,5,27267000
75000,75000,"M","married",54,0,37793000
10000,50000,"F","married",23,8,46817001
20000,35000,"F","married",40,4,20043500
35000,75000,"M","unmarried",28,13,32114000
20000,50000,"F","married",62,0,14820500
1e+05,75000,"M","unmarried",24,4,74832500
2e+05,2e+05,"F","married",45,0,79348000
1e+05,1e+05,"M","married",50,0,10879500
1e+05,35000,"M","married",35,0,19389500
2e+05,1e+05,"M","married",39,0,12250000
35000,75000,"M","married",51,0,88502500
1e+05,75000,"F","married",32,6,12250000
75000,50000,"F","married",36,0,56189500
35000,35000,"M","married",30,0,12644000
350000,2e+05,"M","married",51,5,41748000
10000,10000,"M","married",57,0,14820500
50000,75000,"F","married",51,3,41748000
75000,75000,"F","married",58,0,74832500
1e+05,50000,"M","unmarried",25,6,14236500
5e+05,350000,"M","married",44,7,56189500
50000,20000,"F","married",49,0,19391500
35000,75000,"M","married",35,0,13531500
75000,50000,"M","unmarried",25,4,41748000
20000,20000,"F","married",38,0,18535000
1e+05,1e+05,"F","married",42,0,11858500
35000,50000,"F","married",38,0,64330000
35000,35000,"F","married",28,0,11644500
75000,1e+05,"M","married",45,2,28882750
75000,1e+05,"M","married",28,7,46817001
1e+05,35000,"F","unmarried",29,0,38505000
10000,5000,"F","unmarried",25,0,38505000
2000,1000,"M","married",68,0,19391500
20000,75000,"F","married",27,5,20011001
5e+05,350000,"M","married",68,0,37002000
2e+05,2e+05,"M","married",25,9,12494500
5e+05,2e+05,"F","married",38,0,22793500
35000,75000,"M","married",42,1,18293250
20000,1e+05,"M","married",31,5,20011001
75000,350000,"M","unmarried",29,10,8613001
1e+05,75000,"M","unmarried",28,4,41748000
20000,10000,"F","married",50,0,88502500
50000,50000,"F","married",61,0,16777000
10000,5000,"F","married",34,7,19389000
35000,20000,"M","married",57,11,20043500
20000,75000,"M","married",30,0,27080500
1e+05,1e+05,"M","married",28,0,6810000
2e+05,75000,"M","married",60,0,9479500
1e+06,350000,"M","married",40,0,22793500
2e+05,1e+05,"F","married",36,0,16548000
1e+05,75000,"M","unmarried",23,0,9900500
50000,50000,"F","married",25,2,12644000
75000,2e+05,"M","unmarried",23,0,11858500
75000,50000,"F","married",40,8,14236500
1e+05,50000,"F","unmarried",33,0,14193000
5e+05,1e+05,"F","married",61,0,37002000
35000,35000,"F","married",54,0,8613001
1e+05,75000,"M","married",30,0,8551500
2e+05,2e+05,"F","married",45,0,30498500
2e+05,2e+05,"F","married",65,0,9900500
750000,5e+05,"M","married",54,7,79348000
35000,75000,"F","married",28,9,12494500
1e+05,50000,"M","married",37,0,11644500
75000,75000,"M","unmarried",39,6,19391500
350000,350000,"M","married",51,9,74832500
2e+05,75000,"M","married",37,2,16548000
20000,75000,"M","married",57,4,8613001
